RA (degrees),DEC (degrees),Timestamp
106.08701,19.785936,2024-01-01
102.484436,7.6407547,2024-01-03
126.78788,-12.223187,2024-01-05
356.2181,-0.51603955,2024-01-07
344.52847,16.606318,2024-01-09
252.891,-4.6240673,2024-01-11
258.4985,-12.154824,2024-01-13
358.5067,1.937747,2024-01-15
23.858845,-11.494886,2024-01-17
36.777138,5.781378,2024-01-19
333.1127,11.002853,2024-01-21
34.95644,-5.182991,2024-01-23
16.205315,-1.755928,2024-01-25
261.0091,-9.714227,2024-01-27
262.07053,-12.071404,2024-01-29
311.5656,2.0294423,2024-01-31
192.85799,20.886843,2024-02-02
220.08429,-2.7215083,2024-02-04
255.85419,32.01558,2024-02-06
203.80789,-0.07792121,2024-02-08
334.9076,15.308474,2024-02-10
29.778694,0.5322308,2024-02-12
162.26329,11.882423,2024-02-14
219.5932,23.797024,2024-02-16
299.8225,10.290931,2024-02-18
144.61815,23.782368,2024-02-20
221.68515,25.95792,2024-02-22
137.2321,23.334003,2024-02-24
264.0876,-9.761898,2024-02-26
136.02103,15.946174,2024-02-28
277.6817,-10.192387,2024-03-01
28.778406,5.898197,2024-03-03
184.7596,-18.277218,2024-03-05
344.53342,0.9683783,2024-03-07
23.32255,12.410287,2024-03-09
221.39664,-4.3744473,2024-03-11
101.516136,21.705326,2024-03-13
306.5426,19.621902,2024-03-15
232.6193,9.6811695,2024-03-17
345.1957,-0.374921,2024-03-19
149.114,16.473434,2024-03-21
15.718047,1.1052432,2024-03-23
238.17755,27.569775,2024-03-25
24.754967,12.783109,2024-03-27
28.022488,-0.28282234,2024-03-29
195.43054,25.892752,2024-03-31
304.42566,9.130732,2024-04-02
185.30653,13.264515,2024-04-04
206.873,7.526334,2024-04-06
160.08821,23.583931,2024-04-08
237.74599,-2.5576165,2024-04-10
295.9684,24.27674,2024-04-12
130.77946,15.679692,2024-04-14
88.426735,19.079268,2024-04-16
195.1723,25.715675,2024-04-18
270.7677,1.9968307,2024-04-20
160.31784,16.865856,2024-04-22
213.91335,3.242689,2024-04-24
125.688354,14.489829,2024-04-26
167.23589,15.134355,2024-04-28
42.73601,-5.790594,2024-04-30
291.5517,-18.301664,2024-05-02
256.0064,-9.469293,2024-05-04
3.5663412,5.8814015,2024-05-06
199.60219,12.969152,2024-05-08
139.11484,17.159588,2024-05-10
103.80518,-1.3478705,2024-05-12
327.28217,4.918662,2024-05-14
120.164314,24.348269,2024-05-16
279.3947,21.65628,2024-05-18
7.140681,13.89133,2024-05-20
41.136303,7.4780912,2024-05-22
248.36328,-8.402741,2024-05-24
353.46646,10.232025,2024-05-26
77.93916,-4.65933,2024-05-28
211.1027,15.070044,2024-05-30
126.69633,23.855106,2024-06-01
58.27491,14.160618,2024-06-03
181.29561,8.314282,2024-06-05
25.005468,2.2488155,2024-06-07
35.786804,2.1102633,2024-06-09
330.43765,17.618074,2024-06-11
11.523518,14.498022,2024-06-13
336.86084,11.611906,2024-06-15
357.76038,0.026470678,2024-06-17
262.14926,-9.831815,2024-06-19
22.054176,2.4717305,2024-06-21
261.88788,-5.377417,2024-06-23
70.7533,8.406808,2024-06-25
325.42267,42.035156,2024-06-27
151.2352,-0.22002147,2024-06-29
317.92056,15.447949,2024-07-01
190.46303,23.884933,2024-07-03
234.61864,15.773706,2024-07-05
133.37396,12.715214,2024-07-07
148.09073,19.55693,2024-07-09
254.30267,-3.517382,2024-07-11
279.693,18.340218,2024-07-13
299.1312,24.379984,2024-07-15
57.936306,13.006622,2024-07-17
133.58867,23.909147,2024-07-19
45.785183,6.602826,2024-07-21
33.846867,-0.63498396,2024-07-23
250.2619,-10.79743,2024-07-25
216.10858,22.795366,2024-07-27
52.148804,8.191871,2024-07-29
170.69444,25.824818,2024-07-31
266.9259,15.978314,2024-08-02
251.88644,-9.900705,2024-08-04
17.737106,14.401902,2024-08-06
265.82947,-6.634033,2024-08-08
20.947943,13.485101,2024-08-10
163.46259,9.604003,2024-08-12
187.00673,18.872183,2024-08-14
2.5524724,-0.9094787,2024-08-16
5.688004,-1.986941,2024-08-18
229.15527,-7.1034284,2024-08-20
5.2781334,-0.66085154,2024-08-22
36.417583,7.4715667,2024-08-24
170.61397,12.2441845,2024-08-26
331.78854,18.372906,2024-08-28
94.275375,21.239014,2024-08-30
342.42963,1.6723471,2024-09-01
11.572608,4.7627263,2024-09-03
9.367294,12.024747,2024-09-05
193.33965,11.046382,2024-09-07
209.16304,12.232667,2024-09-09
169.39224,18.785582,2024-09-11
18.239883,-8.584641,2024-09-13
228.61118,13.265138,2024-09-15
127.69471,15.333994,2024-09-17
5.8561344,-15.463654,2024-09-19
131.0985,16.983929,2024-09-21
217.538,26.91576,2024-09-23
143.0702,25.309303,2024-09-25
0.5076603,-26.819653,2024-09-27
223.67625,16.820646,2024-09-29
238.66858,29.462337,2024-10-01
215.34344,9.585344,2024-10-03
181.67545,8.702342,2024-10-05
205.98367,8.873167,2024-10-07
324.49393,4.1046977,2024-10-09
116.764755,19.85597,2024-10-11
20.47643,-9.763298,2024-10-13
262.52722,-10.458033,2024-10-15
167.65488,19.215311,2024-10-17
325.74667,17.70804,2024-10-19
170.54135,17.680027,2024-10-21
240.59882,14.208692,2024-10-23
240.80739,28.927908,2024-10-25
271.71802,-23.09952,2024-10-27
337.1537,0.38311416,2024-10-29
230.60677,24.89341,2024-10-31
139.67368,25.42908,2024-11-02
229.59784,12.398682,2024-11-04
317.03394,10.460937,2024-11-06
165.24512,17.860786,2024-11-08
139.06166,16.099152,2024-11-10
147.1257,15.723651,2024-11-12
274.47354,28.11233,2024-11-14
82.470566,19.88106,2024-11-16
317.59186,18.50145,2024-11-18
260.52444,-10.357819,2024-11-20
339.08133,11.721042,2024-11-22
53.429577,-7.2666454,2024-11-24
178.38177,9.610199,2024-11-26
327.8242,-1.2322866,2024-11-28
53.307323,8.488711,2024-11-30
236.681,20.506401,2024-12-02
20.408304,-0.7372647,2024-12-04
350.1367,0.916921,2024-12-06
142.85649,24.65461,2024-12-08
27.287968,12.387376,2024-12-10
233.72856,12.763669,2024-12-12
24.66008,13.305491,2024-12-14
69.56221,9.131378,2024-12-16
144.06923,9.852376,2024-12-18
181.67595,7.630449,2024-12-20
197.28699,5.6931643,2024-12-22
189.3165,6.681442,2024-12-24
264.0218,-6.6148334,2024-12-26
128.16988,24.296633,2024-12-28
144.63884,18.261133,2024-12-30
220.8771,7.231591,2025-01-01
257.19507,-15.288586,2025-01-03
10.103117,7.391129,2025-01-05
353.8055,2.2294457,2025-01-07
351.15588,-11.167372,2025-01-09
135.87457,24.612312,2025-01-11
207.67244,24.961796,2025-01-13
355.0424,1.0197179,2025-01-15
251.74216,-12.871103,2025-01-17
37.91931,6.0192914,2025-01-19
342.42722,-28.172977,2025-01-21
32.820152,1.6754014,2025-01-23
36.262707,-0.046893883,2025-01-25
236.649,-7.261027,2025-01-27
236.64554,18.137415,2025-01-29
287.1727,26.72888,2025-01-31
51.498547,3.7194893,2025-02-02
15.528852,3.2417958,2025-02-04
321.4097,-6.7944827,2025-02-06
55.392315,6.225036,2025-02-08
230.07005,9.356798,2025-02-10
47.76495,1.0561281,2025-02-12
200.674,24.464449,2025-02-14
27.048603,13.029428,2025-02-16
209.43881,27.225115,2025-02-18
168.39546,25.780764,2025-02-20
54.514465,8.443424,2025-02-22
194.80171,0.70530885,2025-02-24
15.718088,6.628271,2025-02-26
330.99936,13.753631,2025-02-28
235.36334,17.790693,2025-03-02
262.64276,-6.488875,2025-03-04
142.71329,23.205343,2025-03-06
215.139,25.761238,2025-03-08
220.39711,5.8476257,2025-03-10
3.110059,-1.5461808,2025-03-12
24.043362,10.438498,2025-03-14
225.26987,24.075846,2025-03-16
166.8634,15.936395,2025-03-18
22.07588,-8.614476,2025-03-20
254.48982,32.0814,2025-03-22
13.356264,-1.6280619,2025-03-24
107.36464,14.428743,2025-03-26
296.8165,-6.824291,2025-03-28
253.88547,-15.651082,2025-03-30
240.53967,19.384785,2025-04-01
296.36218,15.048943,2025-04-03
172.49734,-19.203524,2025-04-05
304.45816,22.485588,2025-04-07
154.1171,16.71063,2025-04-09
286.74445,17.516499,2025-04-11
37.158875,4.018465,2025-04-13
168.67134,18.512016,2025-04-15
271.52844,-2.646757,2025-04-17
207.03618,8.27951,2025-04-19
334.62256,13.062853,2025-04-21
288.37115,-12.74409,2025-04-23
253.31761,-14.28869,2025-04-25
42.912205,6.287821,2025-04-27
324.33096,5.4568987,2025-04-29
203.4514,5.6458077,2025-05-01
161.97989,13.768682,2025-05-03
282.6519,-11.376893,2025-05-05
250.48077,17.264793,2025-05-07
355.75986,1.60391,2025-05-09
186.1182,9.899141,2025-05-11
171.7555,9.391458,2025-05-13
330.78122,16.295206,2025-05-15
330.36432,3.134808,2025-05-17
291.74942,-18.061945,2025-05-19
235.81784,14.488241,2025-05-21
218.92114,-13.92247,2025-05-23
162.38322,17.739216,2025-05-25
227.5768,24.711956,2025-05-27
132.87833,18.153683,2025-05-29
195.71817,5.4392633,2025-05-31
345.03278,-2.3780022,2025-06-02
0.021013103,0.6746534,2025-06-04
36.30159,1.5406282,2025-06-06
348.4465,-18.743645,2025-06-08
234.29622,11.582035,2025-06-10
240.42355,-5.0352154,2025-06-12
202.73567,26.37799,2025-06-14
231.2721,25.006767,2025-06-16
42.35226,-2.0565495,2025-06-18
320.65936,3.5549963,2025-06-20
257.30148,-14.444571,2025-06-22
332.83313,0.64915305,2025-06-24
350.64246,12.383391,2025-06-26
196.06053,9.314148,2025-06-28
214.34425,-16.75993,2025-06-30
214.56952,24.88089,2025-07-02
3.2415316,-5.131089,2025-07-04
161.99744,-16.094795,2025-07-06
31.760746,6.3417764,2025-07-08
340.05374,0.28544486,2025-07-10
58.30476,13.918633,2025-07-12
227.92401,10.369614,2025-07-14
288.75153,11.189338,2025-07-16
197.8405,-16.527079,2025-07-18
207.14235,7.101344,2025-07-20
206.48654,23.420502,2025-07-22
208.70915,26.080711,2025-07-24
176.53482,13.038598,2025-07-26
146.69339,15.67054,2025-07-28
34.421947,4.4013004,2025-07-30
203.16237,7.312705,2025-08-01
116.13836,14.491348,2025-08-03
232.18677,-4.708896,2025-08-05
201.78815,26.082256,2025-08-07
343.61,-27.711124,2025-08-09
142.35191,11.047813,2025-08-11
13.91974,-1.2696761,2025-08-13
50.556625,14.704321,2025-08-15
185.56409,7.447112,2025-08-17
282.23416,-9.71595,2025-08-19
91.84222,14.496468,2025-08-21
233.65567,-0.21487986,2025-08-23
279.382,-11.574147,2025-08-25
32.689724,1.4300244,2025-08-27
304.81317,-18.59332,2025-08-29
320.36877,20.884628,2025-08-31
279.24118,-13.268141,2025-09-02
174.61028,23.53351,2025-09-04
110.461365,13.4105015,2025-09-06
340.90826,15.677042,2025-09-08
46.29196,-4.42968,2025-09-10
267.00604,-10.430553,2025-09-12
223.05823,6.8967304,2025-09-14
185.17964,21.908648,2025-09-16
298.898,24.19491,2025-09-18
206.47964,11.336859,2025-09-20
8.98053,0.6567415,2025-09-22
252.68004,-6.311273,2025-09-24
85.96597,-9.593379,2025-09-26
347.07727,13.418782,2025-09-28
17.146519,3.791783,2025-09-30
142.03383,15.471495,2025-10-02
226.74353,9.199055,2025-10-04
173.61761,15.873603,2025-10-06
293.1709,13.421713,2025-10-08
263.95462,-15.816554,2025-10-10
209.76828,23.884563,2025-10-12
343.3846,-1.1784708,2025-10-14
240.45206,15.447321,2025-10-16
10.895233,3.8176405,2025-10-18
163.19664,15.7077265,2025-10-20
5.1163683,14.690725,2025-10-22
32.307476,11.958454,2025-10-24
117.595184,-5.4827485,2025-10-26
329.49792,3.1437066,2025-10-28
338.22665,1.7094336,2025-10-30
334.29388,4.489585,2025-11-01
130.04585,15.534546,2025-11-03
56.690376,2.1433394,2025-11-05
314.65894,15.367264,2025-11-07
167.36354,13.658396,2025-11-09
195.39775,-14.957939,2025-11-11
196.02638,26.113422,2025-11-13
337.40112,15.126814,2025-11-15
29.093964,1.8279757,2025-11-17
7.5003242,-0.34404227,2025-11-19
238.45416,25.837767,2025-11-21
275.528,-25.727762,2025-11-23
13.031905,-1.0953274,2025-11-25
200.54753,13.626684,2025-11-27
8.05897,-16.135378,2025-11-29
307.1201,-19.950546,2025-12-01
172.38345,10.340475,2025-12-03
8.92065,12.35589,2025-12-05
132.80293,15.554317,2025-12-07
254.12573,21.356106,2025-12-09
200.19753,6.2067623,2025-12-11
236.88258,14.428765,2025-12-13
238.28775,28.667816,2025-12-15
187.18867,5.9662323,2025-12-17
247.88098,-1.6478544,2025-12-19
299.6735,23.83282,2025-12-21
73.95169,16.999985,2025-12-23
15.52782,-0.03239663,2025-12-25
91.210526,20.285921,2025-12-27
17.557402,-2.9627757,2025-12-29
66.431915,18.811068,2025-12-31
144.75542,16.661184,2026-01-02
345.3435,14.366747,2026-01-04
342.3626,-0.61637896,2026-01-06
19.932678,1.8711426,2026-01-08
112.82627,15.526301,2026-01-10
126.97769,15.917846,2026-01-12
278.86526,27.778236,2026-01-14
346.3642,12.271853,2026-01-16
265.8362,-18.74819,2026-01-18
49.163612,8.99921,2026-01-20
135.00822,17.94687,2026-01-22
22.023018,-2.3092816,2026-01-24
274.71155,5.36193,2026-01-26
143.79779,23.83766,2026-01-28
266.93494,-11.203855,2026-01-30
136.60254,22.637667,2026-02-01
232.35335,28.047829,2026-02-03
126.10465,19.319967,2026-02-05
338.37936,6.8279366,2026-02-07
258.16144,-13.446949,2026-02-09
240.24883,16.757324,2026-02-11
296.47153,19.302382,2026-02-13
128.25793,23.2189,2026-02-15
157.27898,21.521648,2026-02-17
344.84296,-1.2114472,2026-02-19
359.9083,-1.9343632,2026-02-21
222.94298,10.807096,2026-02-23
215.37596,13.214187,2026-02-25
24.870836,-10.42211,2026-02-27
217.65866,23.849873,2026-03-01
248.11816,-15.004173,2026-03-03
168.93237,8.39474,2026-03-05
26.315592,2.729743,2026-03-07
4.717701,4.7137394,2026-03-09
332.89392,9.549136,2026-03-11
216.69868,14.628726,2026-03-13
165.70372,20.918894,2026-03-15
254.04495,-13.840958,2026-03-17
258.09106,30.160902,2026-03-19
127.50996,23.27371,2026-03-21
153.09941,21.088186,2026-03-23
352.30957,7.8986616,2026-03-25
41.32325,9.372292,2026-03-27
185.20705,6.300717,2026-03-29
335.4228,0.5225709,2026-03-31
183.49521,18.654476,2026-04-02
248.9295,-17.274101,2026-04-04
219.71355,6.181345,2026-04-06
12.963994,14.33271,2026-04-08
300.32608,22.517672,2026-04-10
196.6046,5.5290756,2026-04-12
33.8475,6.717976,2026-04-14
265.5366,27.596529,2026-04-16
19.786652,-1.2053804,2026-04-18
248.23376,28.486042,2026-04-20
259.80676,-6.5375233,2026-04-22
26.12314,5.1907983,2026-04-24
264.5595,-14.301417,2026-04-26
45.55216,0.3129591,2026-04-28
280.1795,27.602234,2026-04-30
4.8511505,5.2063556,2026-05-02
77.18168,17.584167,2026-05-04
149.3404,16.080835,2026-05-06
83.902885,13.749081,2026-05-08
200.85533,0.15137012,2026-05-10
91.181366,-17.681738,2026-05-12
25.265747,14.200946,2026-05-14
213.9639,25.277727,2026-05-16
194.55559,7.0823617,2026-05-18
28.74791,-0.8876582,2026-05-20
235.31793,24.14869,2026-05-22
135.19392,15.902425,2026-05-24
87.445595,17.559036,2026-05-26
271.01025,29.416504,2026-05-28
234.64368,28.371187,2026-05-30
163.58458,14.210999,2026-06-01
320.9412,20.344784,2026-06-03
11.243683,14.540784,2026-06-05
159.91898,17.923338,2026-06-07
41.87808,2.0318673,2026-06-09
195.79115,18.010515,2026-06-11
183.90346,-6.477247,2026-06-13
170.24147,23.47126,2026-06-15
197.75476,23.73255,2026-06-17
21.173828,-20.195648,2026-06-19
111.72061,23.796223,2026-06-21
312.29755,-5.117377,2026-06-23
84.48149,14.540806,2026-06-25
52.44723,2.995316,2026-06-27
262.96677,-10.216616,2026-06-29
10.571655,11.091301,2026-07-01
326.78302,17.139057,2026-07-03
276.62762,22.070274,2026-07-05
4.7072673,5.304478,2026-07-07
254.70477,28.610428,2026-07-09
337.80655,3.1086473,2026-07-11
355.69705,13.8397875,2026-07-13
264.3373,-12.111698,2026-07-15
238.49237,30.797407,2026-07-17
187.83458,6.488256,2026-07-19
190.10925,6.7171087,2026-07-21
176.35898,21.32833,2026-07-23
76.31674,19.855797,2026-07-25
244.30676,27.376293,2026-07-27
254.67615,20.260303,2026-07-29
0.29666665,-2.973343,2026-07-31
316.0004,8.718595,2026-08-02
254.2414,23.705744,2026-08-04
216.50064,10.001561,2026-08-06
259.02563,-12.450925,2026-08-08
