predicted_ra,predicted_dec,predicted_year,predicted_month,predicted_day,predicted_hour
39.027466,-92.607155,2030,30,240,5
29.571503,-84.80489,2034,4,85,19
42.65338,-87.89685,2026,27,144,-4
336.88574,-81.72744,2034,4,88,130
42.545135,-86.85531,2027,41,162,-26
326.68036,-78.20451,2025,3,62,90
270.6259,-25.616844,2028,6,16,14
209.24995,-15.783904,2034,5,16,14
41.720215,-93.16053,2030,51,335,-4
45.354126,-90.541794,2029,54,261,-24
327.46017,-73.22505,2032,6,38,49
312.1216,-67.419815,2026,4,32,41
358.02414,-49.31139,2030,10,18,6
44.291016,-89.59701,2034,51,229,-28
342.61896,-77.32935,2025,4,49,65
250.74696,-52.59975,2030,3,23,28
30.617584,-71.0951,2034,8,61,9
217.86508,-23.832651,2031,5,16,14
315.30286,-74.786964,2025,2,49,71
338.00067,-83.33948,2032,5,136,209
359.72583,-75.21752,2034,7,38,48
347.50543,-81.913124,2031,7,78,112
61.05838,20.297647,2027,4,16,6
338.63583,-80.910065,2026,4,74,107
329.9,-80.338165,2031,4,76,111
291.64606,-67.360825,2029,2,34,48
38.339844,-82.724724,2028,15,92,1
39.078827,-83.608986,2025,15,97,2
36.305695,-89.01506,2030,13,123,9
190.69403,4.954487,2031,5,14,9
341.91678,-80.400505,2030,5,66,94
340.7381,-84.108955,2030,6,165,260
45.46216,-91.80643,2029,72,369,-34
321.43857,-26.968285,2027,4,23,22
215.19798,5.118023,2033,5,19,13
327.0889,-78.73118,2025,2,65,96
57.372498,16.069492,2026,6,14,9
340.49844,-77.119484,2025,4,49,65
45.311676,-92.43017,2026,90,473,-45
41.95758,-90.68019,2029,31,190,-2
330.5531,-80.66202,2025,3,81,120
333.64474,-81.84799,2031,4,96,144
38.396362,-92.48645,2025,26,226,7
357.84772,-79.78832,2026,8,52,69
334.32758,-82.131294,2025,4,103,155
199.03078,18.45593,2029,2,24,9
311.32117,-68.83411,2029,4,34,45
340.62604,-82.47865,2027,5,98,146
43.29651,-91.98975,2027,97,467,-68
313.77386,-69.61582,2030,4,35,46
339.96643,-83.83042,2031,6,152,237
347.66672,-45.338078,2026,9,17,10
244.43597,-53.143265,2033,3,23,30
318.12033,-75.602646,2028,2,51,75
337.0035,-83.053,2027,5,127,196
28.875763,-84.15215,2032,4,82,19
349.3994,5.400339,2028,6,15,6
328.51074,-79.167595,2032,4,65,93
331.57556,-80.49275,2032,3,77,114
339.41705,-82.34303,2030,5,97,144
333.85693,-79.48416,2028,7,64,91
30.371185,-86.276955,2027,5,92,18
41.701965,-83.62027,2028,30,104,-15
45.044525,-89.35796,2030,40,195,-14
339.233,-83.866905,2027,6,156,245
188.50102,-6.295047,2028,4,24,13
358.84137,-19.201065,2031,6,33,11
44.83786,-92.70341,2030,109,569,-61
330.9376,-66.53498,2031,7,28,31
338.1731,-74.03886,2025,9,36,43
44.726105,-92.55658,2031,66,374,-21
45.483185,-89.88782,2028,47,226,-20
334.43063,-82.052505,2029,4,99,149
311.13055,-72.869644,2026,2,44,63
351.76562,-4.733815,2027,6,27,11
344.1567,-54.774494,2031,10,19,13
333.2624,-81.46965,2028,3,88,131
317.73904,-64.58455,2029,5,28,34
318.92877,-64.432236,2033,5,28,33
335.35565,-79.095825,2025,8,59,84
45.857697,-92.3516,2031,82,437,-36
39.615265,-84.53779,2028,15,103,3
323.05145,-77.8449,2026,3,61,91
35.51773,-90.7375,2034,13,149,10
332.9296,-80.98316,2031,5,83,122
